name,ngram,textfreq,corpfreq,diff,diffsum,length, ngram,etc
fragments of psalms psalm 50.txt,re,0.01655629,0.00995112,0.00660517,0.00660517,906,me,0.01655629,0.00548407,0.01107222,0.01767738,906,in,0.01655629,0.00691479,0.0096415,0.02731889,906,ea,0.01655629,0.01641587,0.00014043,0.02745931,906,ne,0.01545254,0.01321248,0.00224006,0.02969937,906,
fragments of psalms psalm 53.txt,in,0.03164557,0.00691479,0.02473078,0.02473078,158,al,0.03164557,0.00628001,0.02536556,0.05009634,158,me,0.02531646,0.00548407,0.01983238,0.06992873,158,am,0.02531646,0.0034176,0.02189886,0.09182758,158,et,0.01898734,0.00297836,0.01600898,0.10783656,158,
fragments of psalms psalm 58.txt,me,0.03940887,0.00548407,0.03392479,0.03392479,406,er,0.01970443,0.00663081,0.01307363,0.04699842,406,em,0.01970443,0.0043737,0.01533073,0.06232915,406,in,0.01477833,0.00691479,0.00786354,0.07019269,406,ra,0.01477833,0.00548506,0.00929327,0.07948596,406,
fragments of psalms psalm 60.txt,in,0.03108808,0.00691479,0.02417329,0.02417329,193,de,0.02590674,0.01264649,0.01326025,0.03743354,193,ic,0.02072539,0.00469699,0.0160284,0.05346195,193,am,0.02072539,0.0034176,0.01730779,0.07076974,193,ge,0.02072539,0.01592455,0.00480084,0.07557058,193,
fragments of psalms psalm 64.txt,on,0.02150538,0.01616333,0.00534205,0.00534205,186,in,0.01612903,0.00691479,0.00921424,0.01455629,186,no,0.01612903,0.00241629,0.01371274,0.02826903,186,ar,0.01612903,0.00540743,0.0107216,0.03899063,186,te,0.01612903,0.00758593,0.00854311,0.04753374,186,
fragments of psalms psalm 69.txt,um,0.02808989,0.00870711,0.01938278,0.01938278,178,in,0.02247191,0.00691479,0.01555712,0.0349399,178,me,0.02247191,0.00548407,0.01698784,0.05192773,178,ea,0.02247191,0.01641587,0.00605604,0.05798378,178,de,0.01685393,0.01264649,0.00420745,0.06219123,178,
fragments of psalms psalm 70.txt,an,0.03070175,0.01912302,0.01157873,0.01157873,228,tu,0.02192982,0.00158106,0.02034877,0.0319275,228,in,0.02192982,0.00691479,0.01501504,0.04694254,228,ia,0.01754386,0.00106517,0.01647869,0.06342122,228,am,0.01754386,0.0034176,0.01412626,0.07754749,228,
fragments of psalms psalm 79.txt,us,0.02469136,0.00164493,0.02304643,0.02304643,162,ne,0.01851852,0.01321248,0.00530604,0.02835247,162,de,0.01851852,0.01264649,0.00587203,0.0342245,162,tu,0.01851852,0.00158106,0.01693746,0.05116196,162,te,0.01851852,0.00758593,0.01093259,0.06209455,162,
fragments of psalms psalm 84.txt,te,0.02857143,0.00758593,0.0209855,0.0209855,140,er,0.02142857,0.00663081,0.01479776,0.03578327,140,en,0.02142857,0.0103992,0.01102937,0.04681263,140,no,0.02142857,0.00241629,0.01901228,0.06582491,140,us,0.02142857,0.00164493,0.01978364,0.08560855,140,
fragments of psalms psalm 87.txt,et,0.02116402,0.00297836,0.01818566,0.01818566,189,te,0.02116402,0.00758593,0.01357809,0.03176376,189,ne,0.02116402,0.01321248,0.00795154,0.03971529,189,ec,0.02116402,0.00330066,0.01786336,0.05757865,189,ge,0.02116402,0.01592455,0.00523947,0.06281812,189,
