name, Text length 
the seasons for fasting.txt,7839
the wanderer.txt,4375
the whale.txt,3001
the wife's lament.txt,1945
thureth.txt,394
vainglory.txt,3018
waldere a.txt,1114
waldere b.txt,1125
widsith.txt,5445
wulf and eadwacer.txt,683
